timestamp=2024-08-13T09:22:35.446746, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.1392, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.032, charger_voltage_now=4.59726, charger_current_now=0.46
timestamp=2024-08-13T09:22:45.612954, cpu_temp=64.452, battery_percentage=93, battery_voltage_now=4.1392, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.032, charger_voltage_now=4.59726, charger_current_now=0.46
timestamp=2024-08-13T09:22:56.281925, cpu_temp=63.376, battery_percentage=93, battery_voltage_now=4.1392, battery_voltage_avg=4.1392, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:05.945148, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.1392, battery_voltage_avg=4.1392, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:16.192508, cpu_temp=64.452, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.1392, battery_current_now=0.188, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:26.317927, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.1392, battery_current_now=0.188, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:35.455504, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.1392, battery_current_now=0.188, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:45.581218, cpu_temp=64.99, battery_percentage=86, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.188, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:23:55.999857, cpu_temp=64.99, battery_percentage=86, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.188, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:05.829837, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.11333, battery_voltage_avg=4.1392, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:16.166846, cpu_temp=64.99, battery_percentage=93, battery_voltage_now=4.11333, battery_voltage_avg=4.1392, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:26.310979, cpu_temp=65.528, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.11333, battery_current_now=0.016, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:35.469145, cpu_temp=65.528, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.11333, battery_current_now=0.016, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:45.635322, cpu_temp=64.99, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.06, battery_current_avg=0.016, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:24:55.800478, cpu_temp=65.528, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.06, battery_current_avg=0.016, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:25:05.976570, cpu_temp=65.528, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.056, battery_current_avg=0.06, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:25:16.162397, cpu_temp=66.066, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.056, battery_current_avg=0.06, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:25:26.318211, cpu_temp=65.528, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.076, battery_current_avg=0.056, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:25:36.478190, cpu_temp=66.066, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.076, battery_current_avg=0.056, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:25:46.666398, cpu_temp=66.604, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.012, battery_current_avg=0.076, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:25:56.867128, cpu_temp=66.066, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.012, battery_current_avg=0.076, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:26:06.967992, cpu_temp=66.604, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.076, battery_current_avg=0.012, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:26:16.472560, cpu_temp=66.066, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.076, battery_current_avg=0.012, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:26:26.677244, cpu_temp=66.604, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.12, battery_current_avg=0.076, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:26:36.851854, cpu_temp=66.604, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.12, battery_current_avg=0.076, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:26:46.716777, cpu_temp=66.604, battery_percentage=90, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.12, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:26:57.400346, cpu_temp=66.604, battery_percentage=90, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.12, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:27:06.610959, cpu_temp=67.142, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.1392, battery_current_now=0.1, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:27:16.959256, cpu_temp=66.604, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.1392, battery_current_now=0.1, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:27:27.280392, cpu_temp=67.142, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.096, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:27:36.476073, cpu_temp=67.142, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.096, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:27:46.494143, cpu_temp=67.68, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.096, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:27:57.171713, cpu_temp=67.68, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.096, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:28:07.491066, cpu_temp=67.68, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.63696, charger_current_now=0.466
timestamp=2024-08-13T09:28:17.651294, cpu_temp=67.68, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.63696, charger_current_now=0.466
timestamp=2024-08-13T09:28:27.804830, cpu_temp=67.68, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.028, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.464
timestamp=2024-08-13T09:28:37.889029, cpu_temp=67.68, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.028, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.464
timestamp=2024-08-13T09:28:47.890096, cpu_temp=68.218, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.064, battery_current_avg=0.028, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:28:58.041029, cpu_temp=67.68, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.064, battery_current_avg=0.028, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:29:08.197391, cpu_temp=68.218, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.064, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:29:18.206843, cpu_temp=67.68, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.064, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:29:28.385737, cpu_temp=67.68, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.108, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:29:38.391019, cpu_temp=68.218, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.108, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.466
timestamp=2024-08-13T09:29:48.555948, cpu_temp=69.294, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.464
timestamp=2024-08-13T09:29:59.044300, cpu_temp=68.756, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.464
timestamp=2024-08-13T09:30:08.762229, cpu_temp=68.756, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.108, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:30:18.768206, cpu_temp=68.756, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.108, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:30:28.934708, cpu_temp=68.756, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.14, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:30:38.905448, cpu_temp=68.756, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.14, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:30:49.747526, cpu_temp=68.756, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.136, battery_current_avg=0.14, charger_voltage_now=4.59726, charger_current_now=0.472
timestamp=2024-08-13T09:31:00.552610, cpu_temp=68.756, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.136, battery_current_avg=0.14, charger_voltage_now=4.59726, charger_current_now=0.472
timestamp=2024-08-13T09:31:10.584949, cpu_temp=69.294, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.08, battery_current_avg=0.136, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:31:20.784676, cpu_temp=68.756, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.08, battery_current_avg=0.136, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:31:30.947913, cpu_temp=69.294, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.08, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:31:41.150251, cpu_temp=69.294, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.08, charger_voltage_now=4.59726, charger_current_now=0.48
timestamp=2024-08-13T09:31:50.468037, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.108, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.472
timestamp=2024-08-13T09:32:00.803776, cpu_temp=69.294, battery_percentage=94, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.108, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.472
timestamp=2024-08-13T09:32:11.141349, cpu_temp=69.294, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.08, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:32:21.207792, cpu_temp=69.832, battery_percentage=90, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.08, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:32:31.198849, cpu_temp=68.756, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.08, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:32:41.192019, cpu_temp=69.832, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.08, charger_voltage_now=4.59726, charger_current_now=0.474
timestamp=2024-08-13T09:32:50.887740, cpu_temp=69.832, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.482
