timestamp=2024-08-11T10:36:38.063890, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.89943, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.642
timestamp=2024-08-11T10:36:52.751965, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.89943, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.54653, charger_current_now=0.304
timestamp=2024-08-11T10:37:07.643923, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.89943, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=5.93515, charger_current_now=0.642
timestamp=2024-08-11T10:37:23.122397, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.82182, battery_current_now=0.116, battery_current_avg=-1.6, charger_voltage_now=5.82002, charger_current_now=0.642
timestamp=2024-08-11T10:37:37.845134, cpu_temp=70.37, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.89545, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.17732, charger_current_now=0.65
timestamp=2024-08-11T10:37:52.529187, cpu_temp=70.908, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.89943, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.30833, charger_current_now=0.394
timestamp=2024-08-11T10:38:07.804594, cpu_temp=70.908, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.89943, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.65
timestamp=2024-08-11T10:38:23.131199, cpu_temp=70.908, battery_percentage=0, battery_voltage_now=2.89346, battery_voltage_avg=2.91137, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.65
timestamp=2024-08-11T10:38:38.256351, cpu_temp=71.446, battery_percentage=0, battery_voltage_now=2.89545, battery_voltage_avg=2.91137, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=5.13321, charger_current_now=0.642
timestamp=2024-08-11T10:38:52.628129, cpu_temp=70.908, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.91137, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.65
